id,Country,mining&extraction,exporter id,exporter,importer id,importer,1st post-trade,id,Country,refining&processing,exporter id,exporter,importer id,importer,2nd post-trade,id,Country,manufacturing
842.0,USA,500.0,36.0,Australia,36.0,Australia,5218.49974095,36.0,Australia,3200.0,36.0,Australia,156.0,China,105.0,156.0,China,14413.45772
36.0,Australia,5220.0,36.0,Australia,993.0,TTCR,1.50025905,56.0,Belgium,6600.0,36.0,Australia,392.0,Japan,147.0,392.0,Japan,4132.418809559999
124.0,Canada,4220.0,36.0,Australia,997.0,NTRM,2018.50338595,124.0,Canada,6500.0,36.0,Australia,410.0,Rep. of Korea,38.0724,410.0,Rep. of Korea,6887.364682599999
180.0,Dem. Rep. of the Congo,175000.0,124.0,Canada,124.0,Canada,4219.99925,180.0,Dem. Rep. of the Congo,400.0,36.0,Australia,998.0,NCPC,2909.9276000000013,,,
192.0,Cuba,3300.0,124.0,Canada,993.0,TTCR,0.00075,246.0,Finland,12800.0,56.0,Belgium,156.0,China,28.110145000000003,,,
360.0,Indonesia,19000.0,180.0,Dem. Rep. of the Congo,156.0,China,2488.1259,356.0,India (...1974),100.0,56.0,Belgium,392.0,Japan,108.54752500000001,,,
450.0,Madagascar,4000.0,180.0,Dem. Rep. of the Congo,180.0,Dem. Rep. of the Congo,171972.17800674998,392.0,Japan,4000.0,56.0,Belgium,410.0,Rep. of Korea,272.36495525000004,,,
540.0,New Caledonia,2570.0,180.0,Dem. Rep. of the Congo,504.0,Morocco,218.2443,450.0,Madagascar,2800.0,56.0,Belgium,998.0,NCPC,6190.977374750001,,,
598.0,Papua New Guinea,3070.0,180.0,Dem. Rep. of the Congo,710.0,South Africa,0.75,504.0,Morocco,1600.0,124.0,Canada,156.0,China,1217.88963,,,
608.0,Philippines,3800.0,180.0,Dem. Rep. of the Congo,993.0,TTCR,320.70179325000004,579.0,Norway,3500.0,124.0,Canada,392.0,Japan,326.61,,,
643.0,Russian Federation,8700.0,180.0,Dem. Rep. of the Congo,997.0,NTRM,171572.18775674998,710.0,South Africa,1000.0,124.0,Canada,410.0,Rep. of Korea,154.59591500000002,,,
792.0,Türkiye,2500.0,192.0,Cuba,993.0,TTCR,3300.0,894.0,Zambia,2000.0,124.0,Canada,998.0,NCPC,4864.791550703,,,
,,,360.0,Indonesia,993.0,TTCR,19000.0,156.0,China,78360.0,156.0,China,156.0,China,65405.30081430511,,,
,,,450.0,Madagascar,450.0,Madagascar,3998.5,,,,156.0,China,392.0,Japan,850.3050950000002,,,
,,,450.0,Madagascar,993.0,TTCR,1.5,,,,156.0,China,410.0,Rep. of Korea,1414.1314340000001,,,
,,,450.0,Madagascar,997.0,NTRM,1198.5,,,,156.0,China,998.0,NCPC,10690.262656695,,,
,,,540.0,New Caledonia,993.0,TTCR,2570.0,,,,156.0,China,999.0,NBCP,291495.362236935,,,
