id,Country,mining&extraction,exporter id,exporter,importer id,importer,1st post-trade,id,Country,refining&processing,exporter id,exporter,importer id,importer,2nd post-trade,id,Country,manufacturing
32.0,Argentina,5970.0,32.0,Argentina,32.0,Argentina,5773.521876,32.0,Argentina,6562.0,32.0,Argentina,124.0,Canada,9.869938320000001,124.0,Canada,220.0
36.0,Australia,55300.0,32.0,Argentina,152.0,Chile,185.990724,156.0,China,42480.0,32.0,Argentina,156.0,China,5889.88531672,156.0,China,17706.97273
76.0,Brazil,1700.0,32.0,Argentina,156.0,China,8.00403,152.0,Chile,20930.0,32.0,Argentina,392.0,Japan,1223.3718660000002,392.0,Japan,4067.48429829
620.0,Portugal,900.0,32.0,Argentina,993.0,TTCR,2.4833699999999994,842.0,USA,2345.0,32.0,Argentina,410.0,Rep. of Korea,709.431537784,410.0,Rep. of Korea,6779.140497150001
716.0,Zimbabwe,710.0,36.0,Australia,32.0,Argentina,0.288,,,,32.0,Argentina,842.0,USA,1180.30567442,842.0,USA,176.0
842.0,USA,939.0,36.0,Australia,152.0,Chile,0.48569286,,,,32.0,Argentina,998.0,NCPC,1190.53145430108,,,
152.0,Chile,28300.0,36.0,Australia,156.0,China,56714.97,,,,124.0,Canada,999.0,NBCP,550.2681388000402,,,
156.0,China,14000.0,36.0,Australia,993.0,TTCR,925.70652276,,,,152.0,Chile,124.0,Canada,358.8383965,,,
,,,76.0,Brazil,32.0,Argentina,73.4343,,,,152.0,Chile,156.0,China,24371.21334072,,,
,,,76.0,Brazil,152.0,Chile,34.56432,,,,152.0,Chile,392.0,Japan,5839.160162,,,
,,,76.0,Brazil,156.0,China,3328.968,,,,152.0,Chile,410.0,Rep. of Korea,14455.04666436,,,
,,,76.0,Brazil,993.0,TTCR,219.73717898999996,,,,152.0,Chile,842.0,USA,1090.56374495,,,
,,,152.0,Chile,32.0,Argentina,62.2728,,,,152.0,Chile,998.0,NCPC,9066.43125252194,,,
,,,152.0,Chile,152.0,Chile,28232.269185310004,,,,156.0,China,124.0,Canada,95.95710903999999,,,
,,,152.0,Chile,993.0,TTCR,5.458014689999999,,,,156.0,China,156.0,China,27756.56869377768,,,
,,,152.0,Chile,997.0,NTRM,7554.686974010005,,,,156.0,China,392.0,Japan,5282.692591800001,,,
,,,156.0,China,32.0,Argentina,6.000825,,,,156.0,China,410.0,Rep. of Korea,8631.501234598,,,
,,,156.0,China,152.0,Chile,0.99323739,,,,156.0,China,842.0,USA,16.47657474,,,
,,,156.0,China,993.0,TTCR,30806.006788860002,,,,156.0,China,998.0,NCPC,696.80379604431,,,
,,,156.0,China,997.0,NTRM,64843.71588477006,,,,156.0,China,999.0,NBCP,40987.58643343049,,,
,,,620.0,Portugal,993.0,TTCR,899.9999999999999,,,,392.0,Japan,999.0,NBCP,9285.275522410004,,,
,,,716.0,Zimbabwe,156.0,China,0.13908,,,,410.0,Rep. of Korea,999.0,NBCP,17578.706365473034,,,
,,,716.0,Zimbabwe,993.0,TTCR,1063.29562479,,,,842.0,USA,124.0,Canada,71.02486572004,,,
,,,842.0,USA,32.0,Argentina,3.0755544,,,,842.0,USA,156.0,China,0.6174571188000002,,,
,,,842.0,USA,152.0,Chile,6.09144366,,,,842.0,USA,392.0,Japan,820.0519325000001,,,
,,,842.0,USA,156.0,China,2407.26063,,,,842.0,USA,410.0,Rep. of Korea,79.51902477930001,,,
,,,842.0,USA,993.0,TTCR,7910.87815068,,,,842.0,USA,842.0,USA,777.1621203656096,,,
,,,991.0,TFCM,32.0,Argentina,98.14614449999999,,,,842.0,USA,998.0,NCPC,596.6245995162501,,,
,,,991.0,TFCM,152.0,Chile,24.29237079,,,,842.0,USA,999.0,NBCP,2905.9261057856097,,,
,,,991.0,TFCM,156.0,China,44864.37414477,,,,992.0,TFCR,124.0,Canada,234.57782922,,,
,,,991.0,TFCM,993.0,TTCR,120801.40255023,,,,992.0,TFCR,156.0,China,676.2743550939999,,,
,,,994.0,UARP,32.0,Argentina,3641.3957875450787,,,,992.0,TFCR,392.0,Japan,187.48326840000001,,,
,,,994.0,UARP,152.0,Chile,34251.25356105195,,,,992.0,TFCR,410.0,Rep. of Korea,482.3484011017401,,,
,,,995.0,URMS,32.0,Argentina,545.2605001000011,,,,992.0,TFCR,842.0,USA,17.41799131,,,
,,,995.0,URMS,842.0,USA,2345.0,,,,,,,,,,,
