id,Country,mining&extraction,exporter id,exporter,importer id,importer,1st post-trade,id,Country,refining&processing,exporter id,exporter,importer id,importer,2nd post-trade,id,Country,manufacturing
36.0,Australia,3260000.0,36.0,Australia,156.0,China,1625719.2,156.0,China,189850.0,156.0,China,156.0,China,108162.89380811604,156.0,China,12053.31498
76.0,Brazil,542000.0,36.0,Australia,392.0,Japan,66854.4,170.0,Colombia,3250.0,156.0,China,392.0,Japan,894.886,392.0,Japan,3455.75270754
156.0,China,991000.0,36.0,Australia,993.0,TTCR,1567426.4,300.0,Greece,14085.0,156.0,China,410.0,Rep. of Korea,3545.1122098,410.0,Rep. of Korea,5759.5878459
384.0,Côte d'Ivoire,362000.0,76.0,Brazil,156.0,China,454922.52,356.0,India (...1974),542.0,156.0,China,998.0,NCPC,77247.10798208401,,,
266.0,Gabon,4340000.0,76.0,Brazil,392.0,Japan,107.7,392.0,Japan,17877.0,156.0,China,999.0,NBCP,100761.47834876002,,,
288.0,Ghana,940000.0,76.0,Brazil,724.0,Spain,5978.283,724.0,Spain,8126.0,170.0,Colombia,392.0,Japan,480.32,,,
356.0,India (...1974),453000.0,76.0,Brazil,993.0,TTCR,104671.48099859999,842.0,USA,31690.0,170.0,Colombia,998.0,NCPC,2769.68,,,
458.0,Malaysia,356000.0,104.0,Myanmar,156.0,China,148078.68899999998,,,,300.0,Greece,998.0,NCPC,14085.0,,,
710.0,South Africa,7200000.0,104.0,Myanmar,993.0,TTCR,57921.311000000016,,,,356.0,India (...1974),998.0,NCPC,542.0,,,
104.0,Myanmar,206000.0,156.0,China,156.0,China,988544.3566786,,,,392.0,Japan,156.0,China,619.175259584,,,
268.0,Georgia,224000.0,156.0,China,392.0,Japan,24.0,,,,392.0,Japan,410.0,Rep. of Korea,5914.98420944,,,
484.0,Mexico,226000.0,156.0,China,724.0,Spain,0.0012,,,,392.0,Japan,998.0,NCPC,14369.680729478001,,,
804.0,Ukraine,600000.0,156.0,China,993.0,TTCR,2431.6421213999997,,,,410.0,Rep. of Korea,999.0,NBCP,4302.949370010003,,,
704.0,Viet Nam,146000.0,156.0,China,997.0,NTRM,9783566.514920998,,,,724.0,Spain,156.0,China,0.4412715399999999,,,
,,,266.0,Gabon,156.0,China,1254300.0,,,,724.0,Spain,410.0,Rep. of Korea,0.0034114999999999,,,
,,,266.0,Gabon,300.0,Greece,6465.0,,,,724.0,Spain,998.0,NCPC,8125.555316960001,,,
,,,266.0,Gabon,392.0,Japan,21189.6,,,,842.0,USA,156.0,China,99.199609722,,,
,,,266.0,Gabon,724.0,Spain,26394.3,,,,842.0,USA,392.0,Japan,0.823436,,,
,,,266.0,Gabon,993.0,TTCR,3031651.1000000006,,,,842.0,USA,410.0,Rep. of Korea,116.09592166000002,,,
,,,268.0,Georgia,993.0,TTCR,224000.0,,,,842.0,USA,998.0,NCPC,31473.881032617992,,,
,,,288.0,Ghana,156.0,China,743882.85,,,,992.0,TFCR,156.0,China,3933.083379798,,,
,,,288.0,Ghana,993.0,TTCR,196117.15000000002,,,,992.0,TFCR,392.0,Japan,1483.430663788,,,
,,,356.0,India (...1974),356.0,India (...1974),453000.0,,,,992.0,TFCR,410.0,Rep. of Korea,486.34146351000004,,,
,,,356.0,India (...1974),997.0,NTRM,452458.0,,,,996.0,MRMT,392.0,Japan,596.2926077520001,,,
,,,384.0,Côte d'Ivoire,156.0,China,233597.34,,,,,,,,,,,
,,,384.0,Côte d'Ivoire,993.0,TTCR,128402.66,,,,,,,,,,,
,,,392.0,Japan,997.0,NTRM,245836.49999999994,,,,,,,,,,,
,,,458.0,Malaysia,156.0,China,171289.22999999998,,,,,,,,,,,
,,,458.0,Malaysia,993.0,TTCR,184710.77000000005,,,,,,,,,,,
,,,484.0,Mexico,993.0,TTCR,226000.00000000003,,,,,,,,,,,
,,,704.0,Viet Nam,993.0,TTCR,146000.0,,,,,,,,,,,
,,,710.0,South Africa,156.0,China,4186319.1,,,,,,,,,,,
,,,710.0,South Africa,392.0,Japan,175519.5,,,,,,,,,,,
,,,710.0,South Africa,724.0,Spain,33024.2218542,,,,,,,,,,,
,,,710.0,South Africa,993.0,TTCR,2805137.1781458007,,,,,,,,,,,
,,,724.0,Spain,997.0,NTRM,62619.09295419998,,,,,,,,,,,
,,,804.0,Ukraine,993.0,TTCR,600000.0,,,,,,,,,,,
,,,991.0,TFCM,156.0,China,166763.22924239998,,,,,,,,,,,
,,,991.0,TFCM,300.0,Greece,31.2105,,,,,,,,,,,
,,,991.0,TFCM,392.0,Japan,18.3,,,,,,,,,,,
,,,991.0,TFCM,724.0,Spain,5348.2869,,,,,,,,,,,
,,,991.0,TFCM,993.0,TTCR,504763.4526972,,,,,,,,,,,
,,,994.0,UARP,392.0,Japan,3026.840198501999,,,,,,,,,,,
,,,995.0,URMS,170.0,Colombia,3250.0,,,,,,,,,,,
,,,995.0,URMS,300.0,Greece,7588.7895,,,,,,,,,,,
,,,995.0,URMS,842.0,USA,31690.0,,,,,,,,,,,
