id,Country,mining&extraction,exporter id,exporter,importer id,importer,1st post-trade,id,Country,refining&processing,exporter id,exporter,importer id,importer,2nd post-trade,id,Country,manufacturing
842.0,USA,16400.0,36.0,Australia,156.0,China,19289.2847964,156.0,China,167000.0,156.0,China,156.0,China,147966.73321938483,156.0,China,82642.66623999999
36.0,Australia,149000.0,36.0,Australia,246.0,Finland,623.94645,246.0,Finland,8000.0,156.0,China,392.0,Japan,580.458045,392.0,Japan,23694.11386752
76.0,Brazil,82700.0,36.0,Australia,410.0,Rep. of Korea,0.0178709999999999,251.0,France,1000.0,156.0,China,410.0,Rep. of Korea,2184.8699772239997,410.0,Rep. of Korea,39490.18977919999
124.0,Canada,159000.0,36.0,Australia,710.0,South Africa,0.0564,392.0,Japan,17000.0,156.0,China,998.0,NCPC,16267.938758391,,,
156.0,China,117000.0,36.0,Australia,993.0,TTCR,129086.69448260001,579.0,Norway,8000.0,156.0,China,999.0,NBCP,1183911.6926289226,,,
360.0,Indonesia,2030000.0,76.0,Brazil,156.0,China,4378.7325,410.0,Rep. of Korea,12000.0,246.0,Finland,156.0,China,22410.335752,,,
540.0,New Caledonia,231000.0,76.0,Brazil,246.0,Finland,10713.99,710.0,South Africa,6000.0,246.0,Finland,392.0,Japan,10916.359997999998,,,
608.0,Philippines,413000.0,76.0,Brazil,710.0,South Africa,0.22443,826.0,United Kingdom,8000.0,246.0,Finland,410.0,Rep. of Korea,8026.444587999999,,,
643.0,Russian Federation,210000.0,76.0,Brazil,993.0,TTCR,67607.05307,,,,246.0,Finland,998.0,NCPC,72480.298758148,,,
986.0,Other,340000.0,124.0,Canada,156.0,China,364.84305,,,,251.0,France,156.0,China,0.4189,,,
,,,124.0,Canada,246.0,Finland,4263.91515,,,,251.0,France,392.0,Japan,1.5444,,,
,,,124.0,Canada,710.0,South Africa,0.8481,,,,251.0,France,410.0,Rep. of Korea,1.821615,,,
,,,124.0,Canada,993.0,TTCR,154370.39370000002,,,,251.0,France,998.0,NCPC,6458.645158622,,,
,,,156.0,China,156.0,China,116920.4443317,,,,392.0,Japan,156.0,China,6179.410718,,,
,,,156.0,China,246.0,Finland,0.00825,,,,392.0,Japan,410.0,Rep. of Korea,3028.99074238,,,
,,,156.0,China,410.0,Rep. of Korea,0.0229918499999999,,,,392.0,Japan,998.0,NCPC,22731.384267513,,,
,,,156.0,China,710.0,South Africa,0.00075,,,,392.0,Japan,999.0,NBCP,166382.91185367998,,,
,,,156.0,China,993.0,TTCR,79.52367645000001,,,,410.0,Rep. of Korea,156.0,China,4513.295058000001,,,
