typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWeight,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,32785214.14,True,8,kg,32783509.0,False,32785214.14,True,0.0,False,800854868.0,0.0,800854868.0,6,False,True
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43796.396,True,8,kg,43711.0,False,43796.396,True,0.0,False,1430475.0,0.0,1430475.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,263.037,True,8,kg,120.0,False,263.037,True,0.0,False,9305.0,0.0,9305.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.766,True,8,kg,0.0,False,3.766,True,0.0,False,92.0,0.0,92.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2201.895,True,8,kg,1976.0,False,2201.895,True,0.0,False,386647.0,0.0,386647.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,372,IRL,Ireland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.188,True,8,kg,0.0,False,8.188,True,0.0,False,200.0,0.0,200.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000.0,False,8,kg,1000.0,False,1000.0,False,0.0,False,6587.0,0.0,6587.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7805080.0,False,8,kg,7805080.0,False,7805080.0,False,0.0,False,184671927.0,0.0,184671927.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,400,JOR,Jordan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2725.0,False,8,kg,2725.0,False,2725.0,False,0.0,False,1913.0,0.0,1913.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23252059.0,False,8,kg,23252059.0,False,23252059.0,False,0.0,False,565518161.0,0.0,565518161.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,313.0,False,8,kg,313.0,False,313.0,False,0.0,False,8118.0,0.0,8118.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,290684.86,True,8,kg,290677.0,False,290684.86,True,0.0,False,1823889.0,0.0,1823889.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,522.437,True,8,kg,100.0,False,522.437,True,0.0,False,10579.0,0.0,10579.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,608,PHL,Philippines,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23908.0,False,8,kg,23908.0,False,23908.0,False,0.0,False,37119294.0,0.0,37119294.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,323.062,True,8,kg,20.0,False,323.062,True,0.0,False,130188.0,0.0,130188.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,699,IND,India,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,294.096,True,8,kg,255.0,False,294.096,True,0.0,False,60290.0,0.0,60290.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,460130.0,False,8,kg,460130.0,False,460130.0,False,0.0,False,1377253.0,0.0,1377253.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,90262.0,False,8,kg,90262.0,False,90262.0,False,0.0,False,281209.0,0.0,281209.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,136.65,True,8,kg,0.0,False,136.65,True,0.0,False,3338.0,0.0,3338.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,804,UKR,Ukraine,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,0.0,False,1204.0,0.0,1204.0,0,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,526.762,True,8,kg,490.0,False,526.762,True,0.0,False,158564.0,0.0,158564.0,6,True,False
C,A,20180101,2018,52,2018,156,CHN,China,M,Import,842,USA,USA,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,810974.992,True,8,kg,810682.0,False,810974.992,True,0.0,False,7855635.0,0.0,7855635.0,6,True,False
