typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWeight,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,0,W00,World,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,1949819.566,True,-1,N/A,0.0,False,1949819.566,True,1970034.38,False,3884770.0,3605729.0,3884770.0,0,False,True
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,36,AUS,Australia,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,17.5,False,8,kg,17.5,False,17.5,False,89.25,False,193.0,165.0,193.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,56,BEL,Belgium,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,25.0,False,8,kg,25.0,False,25.0,False,25.0,False,135.0,75.0,135.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,76,BRA,Brazil,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,36000.0,False,8,kg,36000.0,False,36000.0,False,36216.0,False,20992.0,20580.0,20992.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,156,CHN,China,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,34922.0,False,8,kg,34922.0,False,34922.0,False,38968.6,False,694088.0,664199.0,694088.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,276,DEU,Germany,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,33255.82,False,8,kg,33255.82,False,33255.82,False,33660.28,False,124918.0,117498.0,124918.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,24695.136,True,-1,N/A,0.0,False,24695.136,True,270.0,False,55568.0,49692.0,55568.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,392,JPN,Japan,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,151181.2,False,8,kg,151181.2,False,151181.2,False,163936.72,False,1905791.0,1725640.0,1905791.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,410,KOR,Rep. of Korea,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,74240.0,False,8,kg,74240.0,False,74240.0,False,76307.0,False,198792.0,185033.0,198792.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,458,MYS,Malaysia,0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,70.03,False,8,kg,70.03,False,70.03,False,70.03,False,6353.0,5643.0,6353.0,0,True,False
C,A,20180101,2018,52,2018,608,PHL,Philippines,M,Import,490,S19,"Other Asia, nes",0,W00,World,H4,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,60000.0,False,8,kg,60000.0,False,60000.0,False,62400.0,False,40959.0,36900.0,40959.0,0,True,False
