typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWeight,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,423712.871,True,-1,N/A,0.0,False,423712.871,True,0.0,False,584171.1,0.0,584171.1,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,417.698,True,-1,N/A,0.0,False,417.698,True,0.0,False,575.878,0.0,575.878,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2172.03,True,-1,N/A,0.0,False,2172.03,True,0.0,False,2994.568,0.0,2994.568,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,360417.698,True,-1,N/A,0.0,False,360417.698,True,0.0,False,384341.278,0.0,384341.278,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,208,DNK,Denmark,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14000.0,False,8,kg,14000.0,False,14000.0,False,0.0,False,92601.255,0.0,92601.255,0,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6000.0,False,8,kg,6000.0,False,6000.0,False,0.0,False,6449.839,0.0,6449.839,0,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29356.436,True,-1,N/A,0.0,False,29356.436,True,0.0,False,64613.562,0.0,64613.562,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,501.238,True,-1,N/A,0.0,False,501.238,True,0.0,False,691.054,0.0,691.054,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,417.698,True,-1,N/A,0.0,False,417.698,True,0.0,False,575.878,0.0,575.878,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5167.079,True,-1,N/A,0.0,False,5167.079,True,0.0,False,24071.719,0.0,24071.719,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5012.376,True,-1,N/A,0.0,False,5012.376,True,0.0,False,6910.541,0.0,6910.541,6,False,True
C,A,20180101,2018,52,2018,752,SWE,Sweden,M,Import,842,USA,USA,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,250.619,True,-1,N/A,0.0,False,250.619,True,0.0,False,345.527,0.0,345.527,6,False,True
