reporterCode,cmdCode,status,rows,file,message,checked_at
4,260200,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_4\4_260200_M_2019_partners.csv,,2026-07-15T20:51:20
4,282010,no_data,0,,,2026-07-15T20:51:20
4,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_4\4_282090_M_2019_partners.csv,,2026-07-15T20:51:20
4,811100,no_data,0,,,2026-07-15T20:51:20
8,260200,no_data,0,,,2026-07-15T20:51:20
8,282010,no_data,0,,,2026-07-15T20:51:20
8,282090,no_data,0,,,2026-07-15T20:51:20
8,811100,no_data,0,,,2026-07-15T20:51:20
12,260200,no_data,0,,,2026-07-15T20:51:20
12,282010,no_data,0,,,2026-07-15T20:51:20
12,282090,no_data,0,,,2026-07-15T20:51:20
12,811100,no_data,0,,,2026-07-15T20:51:20
20,260200,no_data,0,,,2026-07-15T20:51:20
20,282010,no_data,0,,,2026-07-15T20:51:20
20,282090,no_data,0,,,2026-07-15T20:51:20
20,811100,no_data,0,,,2026-07-15T20:51:20
24,260200,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_24\24_260200_M_2019_partners.csv,,2026-07-15T20:51:20
24,282010,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_24\24_282010_M_2019_partners.csv,,2026-07-15T20:51:20
24,282090,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_24\24_282090_M_2019_partners.csv,,2026-07-15T20:51:20
24,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_24\24_811100_M_2019_partners.csv,,2026-07-15T20:51:20
660,260200,no_data,0,,,2026-07-15T20:51:20
660,282010,no_data,0,,,2026-07-15T20:51:20
660,282090,no_data,0,,,2026-07-15T20:51:20
660,811100,no_data,0,,,2026-07-15T20:51:20
28,260200,no_data,0,,,2026-07-15T20:51:20
28,282010,no_data,0,,,2026-07-15T20:51:20
28,282090,no_data,0,,,2026-07-15T20:51:20
28,811100,no_data,0,,,2026-07-15T20:51:20
886,260200,no_data,0,,,2026-07-15T20:51:20
886,282010,no_data,0,,,2026-07-15T20:51:20
886,282090,no_data,0,,,2026-07-15T20:51:20
886,811100,no_data,0,,,2026-07-15T20:51:20
32,260200,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_32\32_260200_M_2019_partners.csv,,2026-07-15T20:51:20
32,282010,downloaded,4,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_32\32_282010_M_2019_partners.csv,,2026-07-15T20:51:20
32,282090,downloaded,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_32\32_282090_M_2019_partners.csv,,2026-07-15T20:51:20
32,811100,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_32\32_811100_M_2019_partners.csv,,2026-07-15T20:51:20
51,260200,no_data,0,,,2026-07-15T20:51:20
51,282010,no_data,0,,,2026-07-15T20:51:20
51,282090,no_data,0,,,2026-07-15T20:51:20
51,811100,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_51\51_811100_M_2019_partners.csv,,2026-07-15T20:51:20
533,260200,no_data,0,,,2026-07-15T20:51:20
533,282010,no_data,0,,,2026-07-15T20:51:20
533,282090,no_data,0,,,2026-07-15T20:51:20
533,811100,no_data,0,,,2026-07-15T20:51:20
975,260200,downloaded,20,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_975\975_260200_M_2019_partners.csv,,2026-07-15T20:51:20
975,282010,downloaded,18,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_975\975_282010_M_2019_partners.csv,,2026-07-15T20:51:20
975,282090,downloaded,21,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_975\975_282090_M_2019_partners.csv,,2026-07-15T20:51:20
975,811100,downloaded,16,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_975\975_811100_M_2019_partners.csv,,2026-07-15T20:51:20
36,260200,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_36\36_260200_M_2019_partners.csv,,2026-07-15T20:51:20
