typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,513896.004,False,8,kg,513896.004,False,513896.004,False,0.0,False,969288.56,908186.38,969288.56,0,False,True
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,32,ARG,Argentina,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,224025.0,False,8,kg,224025.0,False,224025.0,False,0.0,False,54798.18,40390.0,54798.18,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,66600.5,False,8,kg,66600.5,False,66600.5,False,0.0,False,107364.41,101126.48,107364.41,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23641.987,False,8,kg,23641.987,False,23641.987,False,0.0,False,202731.76,193647.51,202731.76,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12150.0,False,8,kg,12150.0,False,12150.0,False,0.0,False,28388.25,27099.63,28388.25,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11200.0,False,8,kg,11200.0,False,11200.0,False,0.0,False,55932.67,54299.12,55932.67,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,461.1,False,8,kg,461.1,False,461.1,False,0.0,False,2906.12,2585.8,2906.12,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,699,IND,India,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3019.0,False,8,kg,3019.0,False,3019.0,False,0.0,False,27273.59,26068.94,27273.59,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1000.05,False,8,kg,1000.05,False,1000.05,False,0.0,False,1169.82,772.28,1169.82,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4925.0,False,8,kg,4925.0,False,4925.0,False,0.0,False,47337.5,45245.39,47337.5,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,842,USA,USA,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,166703.092,False,8,kg,166703.092,False,166703.092,False,0.0,False,406152.5,383496.39,406152.5,0,True,False
C,A,20190101,2019,52,2019,152,CHL,Chile,M,Import,899,_X ,"Areas, nes",0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,170.275,False,8,kg,170.275,False,170.275,False,0.0,False,35233.76,33454.84,35233.76,0,True,False
