typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,152487.377,False,8,kg,152487.377,False,149394.587,False,0.0,False,712654.642,690821.478,712654.642,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3672.78,False,8,kg,3672.78,False,3475.0,False,0.0,False,14993.649,14593.725,14993.649,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.026,False,8,kg,5.026,False,5.0,False,0.0,False,310.7,305.96,310.7,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1310.504,False,8,kg,1310.504,False,1225.0,False,0.0,False,25660.55,24120.322,25660.55,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,291.815,False,8,kg,291.815,False,260.0,False,0.0,False,26053.954,25794.52,26053.954,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11561.931,False,8,kg,11561.931,False,11137.144,False,0.0,False,33214.786,31823.391,33214.786,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1400.0,False,8,kg,1400.0,False,1200.0,False,0.0,False,3157.71,2938.53,3157.71,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.84,False,8,kg,1.84,False,1.65,False,0.0,False,313.65,253.31,313.65,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51.29,False,8,kg,51.29,False,50.0,False,0.0,False,1224.0,1188.488,1224.0,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,699,IND,India,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50559.444,False,8,kg,50559.444,False,49771.491,False,0.0,False,429935.302,423867.84,429935.302,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14915.541,False,8,kg,14915.541,False,13960.478,False,0.0,False,22717.694,21142.669,22717.694,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.044,False,0.0,False,48.86,43.26,48.86,0,False,True
C,A,20190101,2019,52,2019,218,ECU,Ecuador,M,Import,842,USA,USA,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68716.206,False,8,kg,68716.206,False,68307.78,False,0.0,False,155023.787,144749.463,155023.787,0,False,True
