typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,943015.11,False,8,kg,943015.11,False,943015.11,False,0.0,False,2409268.99,2323839.09,2409268.99,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,21000.0,False,8,kg,21000.0,False,21000.0,False,0.0,False,199277.57,193558.79,199277.57,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51652.25,False,8,kg,51652.25,False,51652.25,False,0.0,False,118450.05,111390.23,118450.05,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13.85,False,8,kg,13.85,False,13.85,False,0.0,False,2572.45,1999.81,2572.45,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,169517.35,False,8,kg,169517.35,False,169517.35,False,0.0,False,429528.84,409008.96,429528.84,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18310.0,False,8,kg,18310.0,False,18310.0,False,0.0,False,28541.11,27757.74,28541.11,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.64,False,8,kg,0.64,False,0.64,False,0.0,False,271.53,252.3,271.53,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,200000.0,False,8,kg,200000.0,False,200000.0,False,0.0,False,407779.14,393256.0,407779.14,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22.0,False,8,kg,22.0,False,22.0,False,0.0,False,1464.56,1190.2,1464.56,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,229800.0,False,8,kg,229800.0,False,229800.0,False,0.0,False,607732.57,592290.69,607732.57,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,699,IND,India,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,86.14,False,8,kg,86.14,False,86.14,False,0.0,False,1932.04,1751.53,1932.04,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6.76,False,8,kg,6.76,False,6.76,False,0.0,False,1693.78,1508.67,1693.78,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10000.3,False,8,kg,10000.3,False,10000.3,False,0.0,False,46683.68,46149.15,46683.68,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.1,False,8,kg,25.1,False,25.1,False,0.0,False,693.74,592.54,693.74,0,False,True
C,A,20190101,2019,52,2019,32,ARG,Argentina,M,Import,842,USA,USA,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,242580.72,False,8,kg,242580.72,False,242580.72,False,0.0,False,562647.93,543132.48,562647.93,0,False,True
