typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,800155.0,False,8,kg,800155.0,False,800155.0,False,0.0,False,2196329.348,0.0,2196329.348,0,False,True
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24071.0,False,8,kg,24071.0,False,24071.0,False,0.0,False,99979.193,0.0,99979.193,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2143.0,False,8,kg,2143.0,False,2143.0,False,0.0,False,22142.096,0.0,22142.096,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.0,False,8,kg,25.0,False,25.0,False,0.0,False,1022.081,0.0,1022.081,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,36.0,False,8,kg,36.0,False,36.0,False,0.0,False,1539.278,0.0,1539.278,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3330.0,False,8,kg,3330.0,False,3330.0,False,0.0,False,24120.208,0.0,24120.208,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,616,POL,Poland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8056.0,False,8,kg,8056.0,False,8056.0,False,0.0,False,32070.72,0.0,32070.72,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2234.0,False,8,kg,2234.0,False,2234.0,False,0.0,False,338168.769,0.0,338168.769,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,818,EGY,Egypt,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23.0,False,8,kg,23.0,False,23.0,False,0.0,False,268.674,0.0,268.674,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,96998.0,False,8,kg,96998.0,False,96998.0,False,0.0,False,378260.527,0.0,378260.527,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,842,USA,USA,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,663234.0,False,8,kg,663234.0,False,663234.0,False,0.0,False,1298695.111,0.0,1298695.111,0,True,False
C,A,20190101,2019,52,2019,372,IRL,Ireland,M,Import,899,_X ,"Areas, nes",0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.0,False,8,kg,5.0,False,5.0,False,0.0,False,62.691,0.0,62.691,0,True,False
