typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1826417.41,False,8,kg,1826417.41,False,1826417.41,False,0.0,False,4839615.336,0.0,4839615.336,0,False,True
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,40,AUT,Austria,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.14,False,8,kg,2.14,False,2.14,False,0.0,False,15.583,0.0,15.583,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,280806.8,False,8,kg,280806.8,False,280806.8,False,0.0,False,1224019.949,0.0,1224019.949,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,79684.7,False,8,kg,79684.7,False,79684.7,False,0.0,False,198559.624,0.0,198559.624,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,625812.43,False,8,kg,625812.43,False,625812.43,False,0.0,False,599898.352,0.0,599898.352,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,348,HUN,Hungary,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.06,False,8,kg,1.06,False,1.06,False,0.0,False,7.142,0.0,7.142,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,372,IRL,Ireland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.07,False,8,kg,1.07,False,1.07,False,0.0,False,23.934,0.0,23.934,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11931.61,False,8,kg,11931.61,False,11931.61,False,0.0,False,65544.959,0.0,65544.959,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50696.85,False,8,kg,50696.85,False,50696.85,False,0.0,False,225656.18,0.0,225656.18,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.6,False,8,kg,0.6,False,0.6,False,0.0,False,108.858,0.0,108.858,0,True,False
C,A,20190101,2019,52,2019,56,BEL,Belgium,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,94574.86,False,8,kg,94574.86,False,94574.86,False,0.0,False,402980.942,0.0,402980.942,0,True,False
