typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWeight,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,496054.14,False,8,kg,496054.14,False,496054.14,False,529127.1,False,2866264.0,2649178.0,2866264.0,0,False,True
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,567.63,False,8,kg,567.63,False,567.63,False,567.63,False,667.0,480.0,667.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,400.0,False,8,kg,400.0,False,400.0,False,425.0,False,585.0,516.0,585.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10762.0,False,8,kg,10762.0,False,10762.0,False,11654.0,False,174601.0,159509.0,174601.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13.0,False,8,kg,13.0,False,13.0,False,13.0,False,97.0,79.0,97.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12747.17,False,8,kg,12747.17,False,12747.17,False,13157.16,False,38631.0,34265.0,38631.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7693.2,False,8,kg,7693.2,False,7693.2,False,8830.0,False,145598.0,140015.0,145598.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,392,JPN,Japan,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,116992.7,False,8,kg,116992.7,False,116992.7,False,130351.24,False,935125.0,865029.0,935125.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,410,KOR,Rep. of Korea,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,139200.0,False,8,kg,139200.0,False,139200.0,False,148989.1,False,422948.0,393966.0,422948.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,458,MYS,Malaysia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,38543.68,False,8,kg,38543.68,False,38543.68,False,38543.68,False,46252.0,41733.0,46252.0,0,True,False
C,A,20190101,2019,52,2019,608,PHL,Philippines,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,8,kg,500.0,False,500.0,False,530.0,False,16875.0,16875.0,16875.0,0,True,False
