typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,22274602.234,True,-1,N/A,0.0,False,0.0,True,0.0,False,65226272.045,0.0,65226272.045,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,213617.63,False,8,kg,213617.63,False,213617.63,False,0.0,False,55781.975,0.0,55781.975,0,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1959.801,True,-1,N/A,0.0,False,1959.801,True,0.0,False,24871.123,0.0,24871.123,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,363.333,True,-1,N/A,0.0,False,363.333,True,0.0,False,30015.278,0.0,30015.278,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16441718.3,True,-1,N/A,0.0,False,16441718.3,True,0.0,False,42375949.416,0.0,42375949.416,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,563.167,True,-1,N/A,0.0,False,0.0,True,0.0,False,1592.833,0.0,1592.833,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1441.16,True,-1,N/A,0.0,False,1441.16,True,0.0,False,3613.9,0.0,3613.9,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,363210.995,True,-1,N/A,0.0,False,363210.995,True,0.0,False,5194412.814,0.0,5194412.814,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,113518.884,True,-1,N/A,0.0,False,113518.884,True,0.0,False,616978.422,0.0,616978.422,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,376,ISR,Israel,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6776.734,True,-1,N/A,0.0,False,0.0,True,0.0,False,14000.687,0.0,14000.687,6,False,True
C,A,20190101,2019,52,2019,975,R4 ,ASEAN,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24558.0,False,8,kg,24558.0,False,24558.0,False,0.0,False,175406.67,0.0,175406.67,0,False,True
