typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11341485.367,True,-1,N/A,0,False,11341485.367,True,0,False,11142252.677,,11142252.677,6,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1,False,1.0,False,0,False,32.781,,32.781,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,56,BEL,Belgium,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5286918.0,False,8,kg,5286918,False,5286918.0,False,0,False,3210741.105,,3210741.105,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,8,kg,2,False,2.0,False,0,False,340.244,,340.244,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,100,BGR,Bulgaria,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,238.0,False,8,kg,238,False,238.0,False,0,False,35.042,,35.042,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,124,CAN,Canada,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2799.0,False,8,kg,2799,False,2799.0,False,0,False,411.458,,411.458,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1411289.874,True,-1,N/A,0,False,1411289.874,True,0,False,1749632.252,,1749632.252,6,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,203,CZE,Czechia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,kg,3,False,3.0,False,0,False,7573.534,,7573.534,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,246,FIN,Finland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,99660.0,False,8,kg,99660,False,99660.0,False,0,False,30641.163,,30641.163,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,105978.0,False,8,kg,105978,False,105978.0,False,0,False,119792.966,,119792.966,0,False,True
C,A,20210101,2021,52,2021,251,FRA,France,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2462227.0,False,8,kg,2462227,False,2462227.0,False,0,False,2409686.117,,2409686.117,0,False,True
