typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9508.634,False,8,kg,9508.634,False,9508.634,False,0,False,86405.31,81259.27,86405.31,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,76,BRA,Brazil,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,200.0,False,8,kg,200.0,False,200.0,False,0,False,2787.32,2730.0,2787.32,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,156,CHN,China,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.04,False,8,kg,25.04,False,25.04,False,0,False,3425.75,3375.12,3425.75,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,251,FRA,France,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,153.839,False,8,kg,153.839,False,153.839,False,0,False,1286.28,1141.34,1286.28,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,276,DEU,Germany,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4361.384,False,8,kg,4361.384,False,4361.384,False,0,False,14613.6,13151.48,14613.6,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3925.0,False,8,kg,3925.0,False,3925.0,False,0,False,5375.27,5260.31,5375.27,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,699,IND,India,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,838.41,False,8,kg,838.41,False,838.41,False,0,False,58208.99,54936.29,58208.99,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.587,False,8,kg,0.587,False,0.587,False,0,False,80.15,74.72,80.15,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,757,CHE,Switzerland,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.554,False,8,kg,0.554,False,0.554,False,0,False,274.3,254.11,274.3,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,826,GBR,United Kingdom,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.804,False,8,kg,2.804,False,2.804,False,0,False,242.79,230.8,242.79,0,False,True
C,A,20210101,2021,52,2021,858,URY,Uruguay,M,Import,842,USA,USA,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.016,False,8,kg,1.016,False,1.016,False,0,False,110.86,105.1,110.86,0,False,True
