typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,0,W00,World,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,176758.528,True,8,kg,176295.7,False,176758.528,True,0,False,821228.23,788126.87,821228.23,6,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,40,AUT,Austria,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12330.481,True,8,kg,12235.0,False,12330.481,True,0,False,130147.96,124902.06,130147.96,6,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,56,BEL,Belgium,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,559.0,False,8,kg,559.0,False,559.0,False,0,False,16123.19,15473.34,16123.19,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,100,BGR,Bulgaria,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.0,False,8,kg,2.0,False,2.0,False,0,False,25.15,24.13,25.15,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,156,CHN,China,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,26038.8,False,8,kg,26038.8,False,26038.8,False,0,False,71094.59,68228.97,71094.59,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,203,CZE,Czechia,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.331,True,8,kg,2.0,False,2.331,True,0,False,76.32,73.24,76.32,6,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,251,FRA,France,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,19735.0,False,8,kg,19735.0,False,19735.0,False,0,False,34668.7,33271.31,34668.7,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,33448.729,True,8,kg,33082.0,False,33448.729,True,0,False,333853.83,320397.14,333853.83,6,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,300,GRC,Greece,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6025.0,False,8,kg,6025.0,False,6025.0,False,0,False,12669.11,12158.45,12669.11,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,380,ITA,Italy,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9922.0,False,8,kg,9922.0,False,9922.0,False,0,False,55407.8,53174.47,55407.8,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,528,NLD,Netherlands,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5224.0,False,8,kg,5224.0,False,5224.0,False,0,False,21424.95,20561.37,21424.95,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,616,POL,Poland,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1714.142,True,8,kg,1714.0,False,1714.142,True,0,False,30483.54,29254.83,30483.54,6,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,703,SVK,Slovakia,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,137.0,False,8,kg,137.0,False,137.0,False,0,False,1407.35,1350.62,1407.35,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,724,ESP,Spain,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,50116.144,True,8,kg,50116.0,False,50116.144,True,0,False,76066.49,73000.47,76066.49,6,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,792,TUR,Türkiye,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11000.9,False,8,kg,11000.9,False,11000.9,False,0,False,29284.12,28103.75,29284.12,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,826,GBR,United Kingdom,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500.0,False,8,kg,500.0,False,500.0,False,0,False,7144.91,6856.92,7144.91,0,False,True
C,A,20230101,2023,52,2023,642,ROU,Romania,M,Import,842,USA,USA,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,kg,3.0,False,3.0,False,0,False,1350.22,1295.8,1350.22,0,False,True
