typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,0,W00,World,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,387725.0,False,5,u,387725.0,False,975643683.992,True,0.0,False,19004904347.0,18801697102.0,19004904347.0,4,False,True
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,36,AUS,Australia,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,127.622,True,0.0,False,2486.0,2260.0,2486.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,40,AUT,Austria,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6436.0,False,5,u,6436.0,False,17883966.674,True,0.0,False,348368038.0,342133259.0,348368038.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,56,BEL,Belgium,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,26709.0,False,5,u,26709.0,False,76279804.207,True,0.0,False,1485880969.0,1479793533.0,1485880969.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,124,CAN,Canada,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,126.0,False,5,u,126.0,False,209985.4,True,0.0,False,4090379.0,4077075.0,4090379.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,12362.0,False,5,u,12362.0,False,19415385.931,True,0.0,False,378199089.0,367681575.0,378199089.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,191,HRV,Croatia,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,7.0,False,5,u,7.0,False,618642.577,True,0.0,False,12050755.0,11816536.0,12050755.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,203,CZE,Czechia,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5.0,False,5,u,5.0,False,25349.152,True,0.0,False,493785.0,416689.0,493785.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,233,EST,Estonia,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,401.245,True,0.0,False,7816.0,7500.0,7816.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,251,FRA,France,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,46.0,False,5,u,46.0,False,36054.951,True,0.0,False,702327.0,636174.0,702327.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,83024.0,False,5,u,83024.0,False,287564983.342,True,0.0,False,5601578826.0,5550102033.0,5601578826.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,348,HUN,Hungary,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,13540.0,False,5,u,13540.0,False,30321693.688,True,0.0,False,590646870.0,581398487.0,590646870.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,380,ITA,Italy,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,95.0,False,5,u,95.0,False,273245.058,True,0.0,False,5322636.0,5280316.0,5322636.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,48936.0,False,5,u,48936.0,False,109431535.156,True,0.0,False,2131655124.0,2106020644.0,2131655124.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,112408.0,False,5,u,112408.0,False,231079192.801,True,0.0,False,4501272368.0,4417412843.0,4501272368.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,428,LVA,Latvia,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,6.0,False,5,u,6.0,False,4255.019,True,0.0,False,82885.0,80897.0,82885.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,484,MEX,Mexico,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,79812.0,False,5,u,79812.0,False,192564947.782,True,0.0,False,3751039927.0,3743985657.0,3751039927.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,490,S19,"Other Asia, nes",0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,7.0,False,5,u,7.0,False,6584.049,True,0.0,False,128253.0,105203.0,128253.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,504,MAR,Morocco,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,3.0,False,5,u,3.0,False,5600.392,True,0.0,False,109092.0,105892.0,109092.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,699,IND,India,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,1.0,False,5,u,1.0,False,202.779,True,0.0,False,3950.0,3650.0,3950.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,702,SGP,Singapore,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,13.0,False,5,u,13.0,False,154156.431,True,0.0,False,3002867.0,2926867.0,3002867.0,4,True,False
C,A,20230101,2023,52,2023,842,USA,USA,M,Import,703,SVK,Slovakia,0,W00,World,H6,HS,True,870380,Vehicles; with only electric motor for propulsion,6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,4.0,False,5,u,4.0,False,21101.013,True,0.0,False,411034.0,379511.0,411034.0,4,True,False
