typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,0,W00,World,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,964572.85,False,8,kg,964572.85,False,964572.85,False,0,False,4009526.528,,4009526.528,0,False,True
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,56,BEL,Belgium,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2586.51,False,8,kg,2586.51,False,2586.51,False,0,False,1425541.447,,1425541.447,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,156,CHN,China,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,99813.7,False,8,kg,99813.7,False,99813.7,False,0,False,268899.144,,268899.144,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,628.39,False,8,kg,628.39,False,628.39,False,0,False,131121.561,,131121.561,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3840.0,False,8,kg,3840.0,False,3840.0,False,0,False,14452.566,,14452.566,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,773123.0,False,8,kg,773123.0,False,773123.0,False,0,False,1493073.814,,1493073.814,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24284.0,False,8,kg,24284.0,False,24284.0,False,0,False,167452.79,,167452.79,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,490,S19,"Other Asia, nes",0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7400.0,False,8,kg,7400.0,False,7400.0,False,0,False,36061.067,,36061.067,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,528,NLD,Netherlands,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.0,False,8,kg,1.0,False,1.0,False,0,False,29.935,,29.935,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,608,PHL,Philippines,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5377.0,False,8,kg,5377.0,False,5377.0,False,0,False,179949.859,,179949.859,0,True,False
C,A,20240101,2024,52,2024,702,SGP,Singapore,M,Import,699,IND,India,0,W00,World,H6,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,81.22,False,8,kg,81.22,False,81.22,False,0,False,10813.231,,10813.231,0,True,False
