Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,0.0004875,t
2020,156,China,0.00012749999999999998,t
2020,842,USA,0.00035999999999999997,t
2021,0,World,0.002865,t
2021,251,France,4.4999999999999996e-05,t
2021,842,USA,1.5e-05,t
2021,894,Zambia,0.002804999999999985,t
2022,826,United Kingdom,1.79691,t
2022,818,Egypt,6.374999999999999e-05,t
2022,276,Germany,6.75e-05,t
2022,528,Netherlands,7.35e-05,t
2022,180,Dem. Rep. of the Congo,0.0014789999999999849,t
2022,0,World,1.80309375,t
2022,251,France,0.0045,t
2023,0,World,0.001511249999999985,t
2023,124,Canada,0.00075,t
2023,156,China,0.000468,t
2023,180,Dem. Rep. of the Congo,0.00029325,t
2024,504,Morocco,1.275e-05,t
2024,0,World,0.0055635,t
2024,36,Australia,0.0008100000000000001,t
2024,156,China,0.0008257499999999849,t
2024,894,Zambia,0.003915,t
