Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,379.02000000000004,t
2020,180,Dem. Rep. of the Congo,348.15,t
2020,710,South Africa,0.3,t
2020,716,Zimbabwe,30.57,t
2022,0,World,111.04289999999999,t
2022,180,Dem. Rep. of the Congo,15.0,t
2022,508,Mozambique,96.04199999999999,t
2022,699,India,0.0009,t
2023,0,World,85.837545,t
2023,72,Botswana,0.025545,t
2023,180,Dem. Rep. of the Congo,85.8,t
2023,834,United Rep. of Tanzania,0.012,t
2024,0,World,179.54999999999998,t
2024,156,China,1.05,t
2024,180,Dem. Rep. of the Congo,178.5,t
