Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,0.2541,t
2020,156,China,0.10394999999999999,t
2020,568,"Other Europe, nes",0.15,t
2020,826,United Kingdom,0.00015,t
2021,0,World,0.08705505,t
2021,156,China,0.075,t
2021,842,USA,0.01205505,t
2022,0,World,0.0018323999999999999,t
2022,842,USA,0.0018323999999999999,t
2023,842,USA,0.0,
2023,251,France,0.0,
2023,0,World,0.0,
2023,156,China,0.0,
2024,699,India,170.88248295,t
2024,0,World,210.47419334999998,t
2024,156,China,0.09,t
2024,276,Germany,0.084,t
2024,490,"Other Asia, nes",0.06,t
2024,842,USA,39.35771025,t
