Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,2.548888,t
2020,156,China,2.180412,t
2020,203,Czechia,0.09124,t
2020,380,Italy,0.001632,t
2020,528,Netherlands,0.1,t
2020,616,Poland,0.032208,t
2020,699,India,0.004224,t
2020,705,Slovenia,0.092,t
2020,724,Spain,0.047168,t
2020,826,United Kingdom,4e-06,t
2021,804,Ukraine,0.36692800000000003,t
2021,724,Spain,0.050688000000000004,t
2021,699,India,0.001264,t
2021,616,Poland,0.021024,t
2021,568,"Other Europe, nes",0.010312,t
2021,203,Czechia,0.0,
2021,380,Italy,0.00138,t
2021,156,China,1.956072,t
2021,40,Austria,0.0019399999999999999,t
2021,0,World,0.0,
2021,528,Netherlands,0.028,t
2022,568,"Other Europe, nes",0.137404,t
2022,804,Ukraine,0.012400000000000001,t
2022,792,Türkiye,1.5056e-05,t
2022,705,Slovenia,0.116,t
2022,699,India,0.0013280000000000002,t
2022,528,Netherlands,0.295832,t
2022,276,Germany,0.008,t
2022,203,Czechia,0.043704,t
2022,156,China,2.6729000000000003,t
2022,40,Austria,0.09752,t
2022,0,World,3.385503056,t
2022,380,Italy,0.0004,t
2023,568,"Other Europe, nes",0.17854,t
2023,724,Spain,0.050688000000000004,t
2023,699,India,0.00047599999999999997,t
2023,616,Poland,0.020028,t
2023,380,Italy,0.021648,t
2023,203,Czechia,0.024,t
2023,156,China,1.627668,t
2023,40,Austria,4e-06,t
2023,0,World,2.324812,t
2023,276,Germany,0.40176,t
2024,568,"Other Europe, nes",0.161668,t
2024,699,India,0.0007920000000000001,t
2024,528,Netherlands,0.10400000000000001,t
2024,705,Slovenia,0.016,t
2024,203,Czechia,0.04404,t
2024,156,China,1.716024,t
2024,0,World,2.051808,t
2024,380,Italy,0.0011240000000000002,t
2024,724,Spain,0.00816,t
