Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,10.44975,t
2020,724,Spain,0.0003,t
2020,703,Slovakia,0.00015,t
2020,699,India,0.8999999999999999,t
2020,528,Netherlands,0.00375,t
2020,380,Italy,0.18389999999999998,t
2020,688,Serbia,0.015899999999999997,t
2020,203,Czechia,0.045,t
2020,196,Cyprus,0.00015,t
2020,156,China,9.2067,t
2020,56,Belgium,0.00015,t
2020,372,Ireland,0.09375,t
2021,688,Serbia,0.06359999999999999,t
2021,804,Ukraine,0.011399999999999999,t
2021,703,Slovakia,0.075,t
2021,699,India,0.1665,t
2021,490,"Other Asia, nes",0.01875,t
2021,251,France,0.00225,t
2021,372,Ireland,0.16185,t
2021,276,Germany,0.057749999999999996,t
2021,156,China,0.1365,t
2021,0,World,0.7637999999999999,t
2021,380,Italy,0.0702,t
2022,528,Netherlands,0.6291,t
2022,792,Türkiye,0.09,t
2022,703,Slovakia,0.43019999999999997,t
2022,699,India,1.1295,t
2022,688,Serbia,0.09,t
2022,410,Rep. of Korea,1.7968499999999998,t
2022,380,Italy,1.0548,t
2022,372,Ireland,0.19635,t
2022,360,Indonesia,0.0039,t
2022,276,Germany,0.060450000000000004,t
2022,156,China,0.0765,t
2022,56,Belgium,0.21719999999999998,t
2022,0,World,5.77485,t
2023,842,USA,0.07545,t
2023,792,Türkiye,0.013949999999999999,t
2023,703,Slovakia,0.6923999999999999,t
2023,528,Netherlands,0.3828,t
2023,380,Italy,0.07395,t
2023,688,Serbia,0.28859999999999997,t
2023,360,Indonesia,0.00375,t
2023,276,Germany,0.13515,t
2023,203,Czechia,0.04215,t
2023,156,China,0.055049999999999995,t
2023,0,World,1.8414,t
2023,372,Ireland,0.07815,t
2024,528,Netherlands,0.09585,t
2024,380,Italy,0.0609,t
2024,372,Ireland,0.6627,t
2024,276,Germany,0.06359999999999999,t
2024,76,Brazil,0.027,t
2024,203,Czechia,0.03,t
2024,56,Belgium,0.03,t
2024,0,World,1.2757500000000002,t
2024,699,India,0.10665,t
2024,251,France,0.00405,t
2024,784,United Arab Emirates,0.195,t
