Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,99.88266,t
2020,842,USA,0.015960000000000002,t
2020,807,North Macedonia,1.0196399999999999,t
2020,792,Türkiye,0.15761999999999998,t
2020,764,Thailand,0.63,t
2020,757,Switzerland,0.006,t
2020,724,Spain,0.0014399999999999999,t
2020,674,San Marino,0.6599999999999999,t
2020,528,Netherlands,13.32,t
2020,702,Singapore,0.00099,t
2020,380,Italy,1.38,t
2020,348,Hungary,0.06,t
2020,300,Greece,51.511799999999994,t
2020,276,Germany,6.6,t
2020,251,France,0.8099999999999999,t
2020,124,Canada,0.00882,t
2020,76,Brazil,1.26,t
2020,40,Austria,22.439999999999998,t
2020,410,Rep. of Korea,0.00039,t
2021,702,Singapore,8.999999999999999e-05,t
2021,899,"Areas, nes",0.11658,t
2021,842,USA,0.59973,t
2021,807,North Macedonia,0.29874,t
2021,792,Türkiye,0.02697,t
2021,784,United Arab Emirates,0.69,t
2021,688,Serbia,0.045,t
2021,124,Canada,0.01014,t
2021,528,Netherlands,23.895,t
2021,380,Italy,4.14,t
2021,300,Greece,21.432,t
2021,276,Germany,9.0,t
2021,0,World,63.704249999999995,t
2021,674,San Marino,3.4499999999999997,t
2022,642,Romania,3e-05,t
2022,899,"Areas, nes",0.18771,t
2022,842,USA,0.052199999999999996,t
2022,818,Egypt,2.52,t
2022,807,North Macedonia,0.5369099999999999,t
2022,757,Switzerland,0.0018,t
2022,702,Singapore,0.0036,t
2022,688,Serbia,0.018,t
2022,579,Norway,0.0393,t
2022,674,San Marino,2.01,t
2022,380,Italy,13.799999999999999,t
2022,528,Netherlands,8.28,t
2022,124,Canada,0.00099,t
2022,246,Finland,0.6599999999999999,t
2022,251,France,0.51,t
2022,0,World,54.03498,t
2022,300,Greece,17.25009,t
2022,364,Iran,0.03435,t
2022,276,Germany,8.129999999999999,t
2023,642,Romania,151.75199999999998,t
2023,826,United Kingdom,0.13385999999999998,t
2023,807,North Macedonia,0.36107999999999996,t
2023,792,Türkiye,0.6599999999999999,t
2023,842,USA,0.03183,t
2023,757,Switzerland,0.00195,t
2023,688,Serbia,0.06149999999999999,t
2023,490,"Other Asia, nes",0.0009,t
2023,764,Thailand,0.0006,t
2023,344,"China, Hong Kong SAR",0.0010500000000000002,t
2023,300,Greece,15.501000000000001,t
2023,276,Germany,12.1206,t
2023,251,France,0.6,t
2023,196,Cyprus,0.621,t
2023,156,China,0.01917,t
2023,124,Canada,0.0015899999999999998,t
2023,0,World,198.63813,t
2023,380,Italy,16.77,t
2024,620,Portugal,0.03,t
2024,642,Romania,1.38,t
2024,818,Egypt,0.315,t
2024,757,Switzerland,0.18003,t
2024,807,North Macedonia,0.28314,t
2024,528,Netherlands,0.6749999999999999,t
2024,688,Serbia,6e-05,t
2024,504,Morocco,0.56304,t
2024,276,Germany,11.42355,t
2024,380,Italy,6.51,t
2024,300,Greece,18.689999999999998,t
2024,292,Gibraltar,0.00017999999999999998,t
2024,251,France,0.1815,t
2024,196,Cyprus,0.6255000000000001,t
2024,156,China,0.024839999999999997,t
2024,0,World,41.2854,t
2024,826,United Kingdom,0.23504999999999998,t
2024,490,"Other Asia, nes",0.00141,t
2024,842,USA,0.1671,t
