Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,11866.520033849998,t
2020,826,United Kingdom,0.879,t
2020,792,Türkiye,0.21735000000000002,t
2020,757,Switzerland,0.00345,t
2020,710,South Africa,96.74234999999999,t
2020,643,Russian Federation,0.00038385,t
2020,608,Philippines,13.3677,t
2020,579,Norway,0.00075,t
2020,699,India,0.0024,t
2020,458,Malaysia,0.0036,t
2020,410,Rep. of Korea,83.26169999999999,t
2020,392,Japan,0.08504999999999999,t
2020,156,China,8631.4725,t
2020,124,Canada,290.976,t
2020,36,Australia,2749.5,t
2020,554,New Zealand,0.0078,t
2021,579,Norway,0.0013499999999999999,t
2021,842,USA,0.0003,t
2021,826,United Kingdom,0.0051,t
2021,818,Egypt,0.3,t
2021,710,South Africa,196.89,t
2021,608,Philippines,117.4008,t
2021,554,New Zealand,0.021,t
2021,124,Canada,5475.039,t
2021,231,Ethiopia,0.009,t
2021,192,Cuba,0.22499999999999998,t
2021,156,China,8818.62,t
2021,76,Brazil,17.6187,t
2021,36,Australia,1414.4099999999999,t
2021,0,World,16040.55559185,t
2021,344,"China, Hong Kong SAR",0.015341849999999999,t
2022,608,Philippines,86.39999999999999,t
2022,842,USA,0.00255,t
2022,826,United Kingdom,0.45149999999999996,t
2022,804,Ukraine,0.3906,t
2022,792,Türkiye,0.00018195,t
2022,757,Switzerland,0.00015,t
2022,710,South Africa,152.9805,t
2022,702,Singapore,0.0006,t
2022,579,Norway,0.0138,t
2022,704,Viet Nam,60.99419999999999,t
2022,554,New Zealand,0.0195,t
2022,566,Nigeria,0.00015,t
2022,36,Australia,1163.9655,t
2022,76,Brazil,30.308549999999997,t
2022,124,Canada,3845.2835999999998,t
2022,0,World,11071.165420199999,t
2022,344,"China, Hong Kong SAR",17.37015,t
2022,410,Rep. of Korea,20.0322,t
2022,156,China,5692.9516883999995,t
2023,842,USA,0.08775,t
2023,699,India,0.9015,t
2023,826,United Kingdom,0.03535245,t
2023,807,North Macedonia,0.00015,t
2023,764,Thailand,20.72175,t
2023,757,Switzerland,63.482549999999996,t
2023,704,Viet Nam,2.9227499999999997,t
2023,702,Singapore,6.746999999999999,t
2023,608,Philippines,90.48615,t
2023,710,South Africa,158.8485,t
2023,418,Lao People's Dem. Rep.,3.1005000000000003,t
2023,579,Norway,14.867249999999999,t
2023,8,Albania,7.848,t
2023,36,Australia,1491.408,t
2023,76,Brazil,0.0048,t
2023,0,World,6849.4753024500005,t
2023,156,China,2070.45,t
2023,392,Japan,0.00735,t
2023,410,Rep. of Korea,11.648249999999999,t
2023,124,Canada,2905.9077,t
2024,504,Morocco,75.4692,t
2024,826,United Kingdom,0.0370722,t
2024,757,Switzerland,0.0,
2024,710,South Africa,195.2208,t
2024,702,Singapore,88.5072,t
2024,699,India,0.00105,t
2024,608,Philippines,151.82475,t
2024,458,Malaysia,170.4042,t
2024,124,Canada,4664.110049999999,t
2024,392,Japan,3.2723999999999998,t
2024,344,"China, Hong Kong SAR",28.41375,t
2024,156,China,6210.5440499999995,t
2024,76,Brazil,30.2946,t
2024,36,Australia,829.788,t
2024,0,World,0.0,
2024,842,USA,0.07708575,t
2024,410,Rep. of Korea,0.00045,t
2024,894,Zambia,0.00075,t
