Year,Partner ID,Partner Name,Quantity,Unit
2021,0,World,0.6154932000000001,t
2021,24,Angola,0.00056259,t
2021,170,Colombia,0.16058160999999999,t
2021,703,Slovakia,0.00032900000000000003,t
2021,724,Spain,0.45402,t
2022,784,United Arab Emirates,0.003619,t
2022,251,France,0.00032900000000000003,t
2022,788,Tunisia,0.016450000000000003,t
2022,0,World,0.08619800000000001,t
2022,170,Colombia,0.06580000000000001,t
2023,0,World,1.653464512,t
2023,170,Colombia,0.032900000000000006,t
2023,724,Spain,1.5709750000000002,t
2023,784,United Arab Emirates,0.049589512,t
2024,724,Spain,0.1645,t
2024,0,World,3.011666,t
2024,24,Angola,0.0013160000000000001,t
2024,170,Colombia,0.1645,t
2024,710,South Africa,2.632,t
2024,784,United Arab Emirates,0.04935,t
