Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,1.8529430230000001,t
2020,360,Indonesia,0.300592,t
2020,554,New Zealand,0.331196023,t
2020,699,India,1.033285,t
2020,702,Singapore,0.18787,t
2021,0,World,8.050041629999999,t
2021,251,France,2.1792920000000002,t
2021,554,New Zealand,2.11316176,t
2021,699,India,1.50296,t
2021,724,Spain,0.00018787,t
2021,842,USA,2.25444,t
2022,608,Philippines,0.10520720000000001,t
2022,554,New Zealand,3.4588745700000003,t
2022,0,World,3.58662617,t
2022,360,Indonesia,0.0225444,t
2023,0,World,0.2895677884,t
2023,251,France,0.00018787,t
2023,276,Germany,0.22550411839999998,t
2023,554,New Zealand,0.06162136000000001,t
2023,598,Papua New Guinea,0.0022544400000000003,t
2024,598,Papua New Guinea,0.027823546999999983,t
2024,0,World,2.426923447,t
2024,458,Malaysia,2.3934638,t
2024,784,United Arab Emirates,0.0056361,t
