Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,460.023872,t
2020,818,Egypt,0.112,t
2020,784,United Arab Emirates,0.112,t
2020,724,Spain,42.336,t
2020,705,Slovenia,32.147584,t
2020,642,Romania,0.0022400000000000002,t
2020,620,Portugal,13.629056,t
2020,616,Poland,62.272,t
2020,643,Russian Federation,7.6160000000000005,t
2020,380,Italy,69.888,t
2020,276,Germany,160.832,t
2020,251,France,35.168,t
2020,203,Czechia,35.885696,t
2020,196,Cyprus,0.0069440000000000005,t
2020,191,Croatia,0.005824,t
2020,440,Lithuania,0.010528000000000001,t
2021,616,Poland,20.384,t
2021,818,Egypt,0.011200000000000002,t
2021,792,Türkiye,0.011200000000000002,t
2021,724,Spain,17.696,t
2021,705,Slovenia,31.466624,t
2021,642,Romania,0.022176,t
2021,620,Portugal,4.527488,t
2021,380,Italy,64.516928,t
2021,191,Croatia,0.017920000000000002,t
2021,251,France,50.850912,t
2021,218,Ecuador,0.224,t
2021,203,Czechia,25.765824,t
2021,100,Bulgaria,0.047936,t
2021,70,Bosnia Herzegovina,0.000224,t
2021,0,World,310.69158400000003,t
2021,276,Germany,95.149152,t
2022,440,Lithuania,0.004032,t
2022,724,Spain,47.264224,t
2022,705,Slovenia,31.461472,t
2022,642,Romania,0.0044800000000000005,t
2022,620,Portugal,6.72,t
2022,616,Poland,65.247168,t
2022,470,Malta,0.020384,t
2022,410,Rep. of Korea,0.000224,t
2022,398,Kazakhstan,0.002614528,t
2022,0,World,380.495734528,t
2022,348,Hungary,0.08960000000000001,t
2022,276,Germany,92.294048,t
2022,251,France,49.285152000000004,t
2022,203,Czechia,0.24640000000000004,t
2022,196,Cyprus,0.0013440000000000001,t
2022,191,Croatia,0.034944,t
2022,56,Belgium,0.000224,t
2022,380,Italy,87.819424,t
2023,470,Malta,0.371392,t
2023,616,Poland,63.624736,t
2023,620,Portugal,4.503072,t
2023,440,Lithuania,0.002464,t
2023,705,Slovenia,10.858848,t
2023,724,Spain,31.055584,t
2023,398,Kazakhstan,0.002912,t
2023,642,Romania,0.008288,t
2023,380,Italy,32.634336,t
2023,276,Germany,80.976,t
2023,251,France,37.778272,t
2023,196,Cyprus,0.0015680000000000002,t
2023,191,Croatia,0.068768,t
2023,100,Bulgaria,0.0006720000000000001,t
2023,76,Brazil,5.152,t
2023,31,Azerbaijan,0.00119168,t
2023,0,World,267.04055168,t
2023,300,Greece,0.000448,t
2024,616,Poland,37.632,t
2024,724,Spain,25.765824,t
2024,705,Slovenia,0.56672,t
2024,703,Slovakia,4.928,t
2024,620,Portugal,4.480224000000001,t
2024,398,Kazakhstan,0.00371616,t
2024,804,Ukraine,0.003808,t
2024,348,Hungary,0.022400000000000003,t
2024,276,Germany,98.11312,t
2024,251,France,37.632448000000004,t
2024,191,Croatia,0.058912000000000006,t
2024,76,Brazil,31.136,t
2024,0,World,277.97606816,t
2024,380,Italy,37.632224,t
2024,842,USA,0.0006720000000000001,t
