Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,0.2376,t
2020,36,Australia,0.2376,t
2021,0,World,29.1177,t
2021,36,Australia,3.0,t
2021,56,Belgium,13.716,t
2021,392,Japan,12.4017,t
2022,792,Türkiye,13.285499999999999,t
2022,554,New Zealand,7.236,t
2022,490,"Other Asia, nes",0.2631675,t
2022,410,Rep. of Korea,60.260999999999996,t
2022,392,Japan,0.9075,t
2022,842,USA,24.58695,t
2022,124,Canada,19.378800000000002,t
2022,56,Belgium,15.578999999999999,t
2022,36,Australia,11.690999999999999,t
2022,0,World,153.208725,t
2022,156,China,0.0198075,t
2023,842,USA,78.68534999999999,t
2023,702,Singapore,0.035445,t
2023,484,Mexico,7.8942,t
2023,490,"Other Asia, nes",0.006255,t
2023,156,China,7.5e-05,t
2023,36,Australia,0.75,t
2023,0,World,88.747575,t
2023,392,Japan,1.37625,t
2024,490,"Other Asia, nes",0.0018,t
2024,0,World,9.183677999999999,t
2024,36,Australia,0.53325,t
2024,156,China,1.5001499999999999,t
2024,392,Japan,0.8775,t
2024,410,Rep. of Korea,3.6315,t
2024,484,Mexico,2.5925999999999996,t
2024,702,Singapore,0.04687799999999998,t
