Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,292.61083721,t
2020,156,China,70.07000000000001,t
2020,392,Japan,0.000254,t
2020,528,Netherlands,0.060599999999999994,t
2020,710,South Africa,2.47998321,t
2020,784,United Arab Emirates,220.0,t
2021,0,World,0.5215955,t
2021,156,China,0.01038,t
2021,710,South Africa,0.5110155000000001,t
2021,842,USA,0.0002,t
2022,842,USA,0.0005099999999999999,t
2022,710,South Africa,0.6667738300000001,t
2022,480,Mauritius,0.48,t
2022,392,Japan,0.0026899800000000002,t
2022,72,Botswana,0.0001,t
2022,156,China,0.8,t
2022,0,World,1.9500935000000001,t
2022,276,Germany,1.969e-05,t
2023,699,India,0.00036412,t
2023,842,USA,2e-05,t
2023,826,United Kingdom,1.0000000000000002e-06,t
2023,710,South Africa,1.87257,t
2023,643,Russian Federation,0.41600000000000004,t
2023,0,World,11.7964779,t
2023,392,Japan,0.00029224,t
2023,276,Germany,3.599999999999e-06,t
2023,203,Czechia,0.00101,t
2023,156,China,9.5061,t
2023,484,Mexico,0.00011694,t
2024,710,South Africa,1.8469499999999999,t
2024,0,World,17.050350129999998,t
2024,36,Australia,1e-05,t
2024,156,China,15.1,t
2024,276,Germany,0.0007308099999999999,t
2024,392,Japan,4.98e-06,t
2024,699,India,0.0006543399999999989,t
2024,826,United Kingdom,0.102,t
