Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,23.604306179,t
2020,152,Chile,12.02368,t
2020,156,China,0.469675,t
2020,276,Germany,0.93935,t
2020,699,India,0.0018787,t
2020,899,"Areas, nes",10.169722479,t
2021,699,India,0.017885224,t
2021,276,Germany,0.469675,t
2021,156,China,0.93935,t
2021,152,Chile,23.558898000000003,t
2021,124,Canada,0.00018787,t
2021,32,Argentina,4.865833,t
2021,0,World,30.979049094000004,t
2021,842,USA,1.12722,t
2021,699,India,0.017885224,t
2021,276,Germany,0.469675,t
2021,156,China,0.93935,t
2021,152,Chile,23.558898000000003,t
2021,124,Canada,0.00018787,t
2021,32,Argentina,4.865833,t
2021,0,World,30.979049094000004,t
2021,842,USA,1.12722,t
2022,826,United Kingdom,1.8787000000000003e-06,t
2022,699,India,0.00093935,t
2022,251,France,0.00018787,t
2022,152,Chile,7.909327,t
2022,276,Germany,0.93935,t
2022,76,Brazil,3.7574e-05,t
2022,32,Argentina,3.3065120000000006,t
2022,0,World,12.1569192827,t
2022,124,Canada,0.0005636100000000001,t
2023,0,World,9.247600158000001,t
2023,124,Canada,0.00037574,t
2023,152,Chile,1.7321614000000003,t
2023,156,China,7.5148,t
2023,251,France,0.000263018,t
2024,203,Czechia,9.3935e-06,t
2024,0,World,0.0,
2024,32,Argentina,0.015255043999999999,t
2024,76,Brazil,0.0037574,t
2024,152,Chile,0.657545,t
2024,156,China,0.0,
2024,392,Japan,0.01672043,t
