Year,Partner ID,Partner Name,Quantity,Unit
2020,0,World,1526.4897975039999,t
2020,842,USA,0.13947808,t
2020,710,South Africa,0.00024752000000000004,t
2020,705,Slovenia,0.0672,t
2020,702,Singapore,5.600000000000001e-06,t
2020,643,Russian Federation,0.32032,t
2020,608,Philippines,0.0007168000000000001,t
2020,699,India,0.013410208,t
2020,392,Japan,41.169997120000005,t
2020,276,Germany,0.037968,t
2020,246,Finland,904.56576,t
2020,156,China,0.06160000000000001,t
2020,56,Belgium,542.0328704,t
2020,490,"Other Asia, nes",38.080224,t
2021,608,Philippines,0.00028559999999997756,t
2021,842,USA,0.173544448,t
2021,826,United Kingdom,0.008691199999999977,t
2021,710,South Africa,244.662656,t
2021,699,India,0.02484496,t
2021,490,"Other Asia, nes",50.17213824,t
2021,56,Belgium,400.83547840000006,t
2021,380,Italy,0.0032367999999999997,t
2021,276,Germany,0.22657600000000003,t
2021,246,Finland,538.048224,t
2021,156,China,0.07477568,t
2021,0,World,1256.056379648,t
2021,392,Japan,21.82592832,t
2022,392,Japan,24.1064432,t
2022,842,USA,0.023220288000000002,t
2022,710,South Africa,64.57377808000001,t
2022,699,India,0.0023072,t
2022,276,Germany,0.0031360000000000003,t
2022,490,"Other Asia, nes",76.6528,t
2022,156,China,0.0015680000000000002,t
2022,56,Belgium,334.5393632,t
2022,40,Austria,0.00024752000000000004,t
2022,36,Australia,0.00672,t
2022,0,World,1629.096719488,t
2022,246,Finland,1129.187136,t
2023,842,USA,0.030055199999999997,t
2023,699,India,49.280224000000004,t
2023,490,"Other Asia, nes",51.077600000000004,t
2023,392,Japan,60.553866240000005,t
2023,360,Indonesia,0.00079968,t
2023,344,"China, Hong Kong SAR",0.000112,t
2023,710,South Africa,668.849776,t
2023,246,Finland,3590.655488,t
2023,156,China,1334.22352,t
2023,124,Canada,0.25557616,t
2023,56,Belgium,362.17666240000005,t
2023,36,Australia,0.0035392000000000006,t
2023,0,World,6117.1077228799995,t
2023,276,Germany,0.000504,t
2024,710,South Africa,745.90320896,t
2024,702,Singapore,0.000448,t
2024,699,India,528.644032,t
2024,608,Philippines,0.0002464,t
2024,528,Netherlands,0.0011312,t
2024,490,"Other Asia, nes",94.08380688,t
2024,392,Japan,144.8678112,t
2024,380,Italy,0.000112,t
2024,196,Cyprus,76.16135184,t
2024,246,Finland,1677.1507199999999,t
2024,156,China,978.8845919999999,t
2024,124,Canada,0.004371808,t
2024,56,Belgium,298.2110432,t
2024,40,Austria,0.0006720000000000001,t
2024,0,World,4752.940288768001,t
2024,826,United Kingdom,0.00100912,t
2024,276,Germany,208.907776,t
2024,842,USA,0.11795616,t
